Source_ID,Domain,Question,Answer
TENDER_2024_A,Security & Compliance,"Describe your organisation’s information security management approach, including security governance, policies, and oversight.","We maintain an information security management framework with executive oversight, defined security policies and standards, and periodic review. Security responsibilities are assigned across leadership and delivery teams, supported by risk management and audit practices."
TENDER_2024_A,Security & Compliance,"Confirm that all customer data is encrypted in transit and at rest. Specify encryption standards (e.g., TLS 1.2+, AES-256).","Data is protected in transit using modern TLS protocols, and data at rest is protected using platform-level encryption. Specific cipher suites and key management approaches are available on request and may vary by hosting environment."
TENDER_2024_A,Security & Compliance,"Describe your incident response process, including detection, containment, investigation, and customer notification timeframes.","We follow an incident management process covering detection, triage, containment, investigation, remediation, and lessons learned. Customer notification occurs based on severity and contractual/regulatory requirements, with timely updates provided throughout the incident lifecycle."
TENDER_2024_A,Architecture,"Provide a high-level solution architecture and deployment model (SaaS, on-prem, or hybrid). Include key components.","The solution is delivered primarily as SaaS with configurable modules, role-based access, integrations via APIs, and reporting/analytics capabilities. Deployment can support hybrid integration patterns where required."
TENDER_2024_A,Data Governance,"Where will customer data be hosted and processed? Include regions, data residency, and any key subcontractors.",Hosting regions are agreed with the customer to meet data residency needs. Subcontractors and supporting services are disclosed as part of the security and vendor due diligence pack and can be provided upon request.
TENDER_2024_A,Delivery,Provide an implementation approach and indicative timeline for delivery within 12 weeks.,"We follow a phased delivery: kickoff and planning, requirements confirmation, configuration, integration build, testing (SIT/UAT), training, and go-live preparation. A 12-week schedule is achievable subject to timely stakeholder access and environment readiness."
TENDER_2024_A,Delivery,"Describe your project governance model, including roles, responsibilities, and reporting cadence.","We establish a governance model with a steering group for strategic oversight and a project working group for delivery. Reporting cadence is typically weekly with clear actions, risks, and decisions tracked and communicated."
TENDER_2024_A,Operations & Support,"Describe your support and escalation model, including hours of support, response targets, and escalation paths.","Support is delivered through a tiered model (L1/L2/L3) with defined escalation paths. Response targets are set based on severity and support plan, with clear communication and incident tracking provided to the customer."
TENDER_2024_A,Data Governance,"Describe how you manage PII, including access controls, retention, deletion, and offboarding.","PII is protected using least-privilege access, auditing, and secure handling processes. Retention and deletion requirements are aligned to customer policy and regulatory obligations; offboarding includes data export and deletion steps as agreed."
TENDER_2024_B,Commercial & Risk,"List key assumptions, constraints, and dependencies for this proposal.","Assumptions include timely access to SMEs, availability of test environments, and prompt approvals for key decisions. Dependencies include integration endpoints, third-party vendor timelines, and availability of customer data for testing."
TENDER_2024_B,Commercial & Risk,Identify key delivery risks and mitigations specific to this engagement.,"Key risks include scope changes, integration complexity, data quality constraints, and scheduling conflicts. Mitigations include early risk workshops, staged delivery, clear change control, and agreed integration/test plans."
TENDER_2024_B,Change & Training,"Describe your approach to change management, training, and user adoption.","We support change through stakeholder engagement, role-based training, communications planning, and readiness checks. Training includes materials, sessions, and reinforcement activities aligned to go-live."
TENDER_2024_B,Security & Compliance,"Confirm your approach to security testing (vulnerability scanning, penetration testing) and how findings are managed.","We support vulnerability management and security testing aligned to the customer’s security requirements. Findings are triaged by severity, tracked to remediation, and validated through re-testing or compensating controls."
TENDER_2023_C,Security & Compliance,"Do you hold ISO 27001 certification? If yes, provide certificate number and expiry date.","We can align to ISO 27001-aligned practices and provide relevant security documentation as part of due diligence. Certification details, where applicable, are provided through formal channels on request."
TENDER_2023_C,Operations & Support,What uptime commitment do you offer and how is uptime measured and reported?,Availability targets depend on the hosting and support plan selected. Uptime is measured using platform monitoring and reported through agreed service reporting. Exact SLA commitments are finalised contractually.
TENDER_2023_C,AI & Data,How do you use AI/ML in your solution or delivery? Include safeguards against hallucinations and data leakage.,"AI can be used to accelerate documentation, summarisation, and knowledge retrieval where appropriate. Safeguards include human review, restricted data access, logging, and evaluation against curated test sets to reduce hallucinations and unintended disclosure."
TENDER_2023_C,Data Governance,"Where will customer data be hosted and processed? Include regions, data residency, and any key subcontractors.",Data residency is confirmed during contracting based on customer requirements. Subprocessors are documented and disclosed in vendor documentation and can be reviewed during due diligence.
TENDER_2023_C,Security & Compliance,"Confirm that all customer data is encrypted in transit and at rest. Specify encryption standards (e.g., TLS 1.2+, AES-256).",Encryption is applied in transit and at rest using industry-standard mechanisms supported by the hosting platform. Detailed cryptographic standards and configurations can be provided in security documentation.
TENDER_2023_C,Delivery,"Describe your project governance model, including roles, responsibilities, and reporting cadence.","Governance includes defined roles (sponsor, project manager, delivery lead, SMEs) and regular reporting. Risks, issues, and decisions are tracked in a structured register and reviewed in weekly forums."
TENDER_2023_C,Delivery,Provide an implementation approach and indicative timeline for delivery within 12 weeks.,Indicative timeline: Weeks 1–2 planning & requirements confirmation; Weeks 3–6 configuration & integrations; Weeks 7–9 testing; Weeks 10–11 training & readiness; Week 12 go-live. Timing assumes timely access to stakeholders and stable scope.
TENDER_2022_D,Security & Compliance,"Describe your incident response process, including detection, containment, investigation, and customer notification timeframes.","Incidents are logged, triaged, and managed through containment and remediation steps. Communications are coordinated with the customer, and notification timing is aligned to severity and contractual/regulatory obligations."
TENDER_2022_D,Operations & Support,"Describe your support and escalation model, including hours of support, response targets, and escalation paths.",We provide a service desk entry point with escalation to specialist teams. Response targets are severity-based and documented within the support agreement; updates are provided through agreed channels.
TENDER_2022_D,Data Governance,"Describe how you manage PII, including access controls, retention, deletion, and offboarding.",Access is controlled via RBAC and least privilege with auditing enabled. Data retention and deletion processes follow customer policy; offboarding includes data handover and deletion confirmation where applicable.
TENDER_2022_D,Architecture,"Provide a high-level solution architecture and deployment model (SaaS, on-prem, or hybrid). Include key components.",The platform supports SaaS delivery with configurable modules and integration patterns using APIs and secure file exchange where required. Customers can integrate with identity and reporting systems.
TENDER_2022_D,Commercial & Risk,Identify key delivery risks and mitigations specific to this engagement.,"Risks: integration delays, data migration complexity, competing stakeholder priorities, and late requirements changes. Mitigations: early integration workshops, data profiling, governance cadence, and change control."
TENDER_2022_D,Change & Training,"Describe your approach to change management, training, and user adoption.","We deliver change support through stakeholder mapping, communications, training plans, and adoption measurement. Training is role-based with materials and Q&A sessions."
TENDER_2021_E,Security & Compliance,"Confirm your approach to security testing (vulnerability scanning, penetration testing) and how findings are managed.","Security testing is supported through coordinated vulnerability scanning and penetration testing initiatives. Findings are prioritised by severity, assigned owners, and tracked until closure with evidence of remediation."
TENDER_2021_E,Commercial & Risk,"List key assumptions, constraints, and dependencies for this proposal.","Dependencies include customer provision of integration specifications, access to environments, and timely approvals. Constraints may include change freeze periods and limited stakeholder availability."
TENDER_2021_E,AI & Data,How do you use AI/ML in your solution or delivery? Include safeguards against hallucinations and data leakage.,"Where AI is used for drafting or retrieval, outputs are reviewed by SMEs before submission. Controls include access restriction, tenant isolation, logging, and evaluation to minimise hallucinations and prevent leakage of sensitive data."
TENDER_2021_E,Security & Compliance,"Describe your organisation’s information security management approach, including security governance, policies, and oversight.","Security governance includes leadership accountability, policy management, risk assessment, and staff awareness practices. Controls are reviewed periodically, and exceptions are documented and managed."
TENDER_2021_E,Data Governance,"Where will customer data be hosted and processed? Include regions, data residency, and any key subcontractors.",Hosting and processing locations are selected to meet customer residency needs. Subprocessors are disclosed and managed through vendor governance and due diligence processes.
TENDER_2021_E,Operations & Support,What uptime commitment do you offer and how is uptime measured and reported?,Availability and uptime commitments are defined as part of the service agreement. Measurement is based on agreed monitoring windows and excludes planned maintenance as defined in the contract.
TENDER_2023_SEC_01,Security & Compliance,Describe your organisation’s information security governance structure.,"Information security governance is overseen by senior leadership and supported by formal security policies and procedures. Responsibilities are assigned across operational teams. Governance activities include periodic reviews, risk assessments, and internal reporting."
TENDER_2023_SEC_02,Security & Compliance,How does your organisation manage user authentication and access privileges?,Access is controlled through role-based access management and authentication mechanisms. Privileges are granted based on least-privilege and reviewed periodically. Privileged access is subject to additional approval and monitoring controls.
TENDER_2023_SEC_03,Security & Compliance,Explain your organisation’s approach to security monitoring and threat detection.,Security monitoring is supported through centralized logging and monitoring tools that identify anomalous activity. Alerts are investigated by operational teams and escalated in line with incident management procedures.
TENDER_2023_SEC_04,Security & Compliance,Describe how encryption is used to protect sensitive information.,Sensitive information is protected using encryption mechanisms in transit and at rest. Encryption controls are implemented through secure protocols and infrastructure-level protections designed to maintain confidentiality and integrity.
TENDER_2023_SEC_05,Security & Compliance,Describe how your organisation manages data retention and secure disposal.,Data retention is governed by policies defining retention periods based on regulatory and operational requirements. Secure disposal procedures are used to ensure information is permanently removed when retention requirements expire.
TENDER_2023_SEC_06,Security & Compliance,Explain how security incidents are recorded and tracked.,"Security incidents are recorded through incident management systems capturing event details, impact assessments, and remediation actions. Incidents are tracked to closure and reviewed to identify improvements."
TENDER_2023_SEC_07,Security & Compliance,How does your organisation manage privileged user accounts?,"Privileged access is restricted to authorised personnel and subject to approval workflows. Privileged activities are logged and monitored, and privileges are reviewed periodically for appropriateness."
TENDER_2023_SEC_08,Security & Compliance,Describe your organisation’s approach to regulatory and privacy compliance.,"Compliance is supported through policy frameworks, governance oversight, and periodic reviews. Obligations are integrated into operational processes and monitored through assurance activities."
TENDER_2023_SEC_09,Security & Compliance,Describe how security awareness and training are delivered within your organisation.,"Security awareness is supported through periodic training, internal communications, and awareness campaigns. Training covers phishing awareness, password hygiene, and safe handling of sensitive information."
TENDER_2023_SEC_10,Security & Compliance,Describe your organisation’s vulnerability management process.,Vulnerability management includes regular scanning and periodic penetration testing. Findings are prioritised by severity and remediated via tracked actions until closure.
TENDER_2023_OPS_01,Operations & Support,Describe your organisation’s service desk capabilities.,"Service desk support is provided through a centralized function managing incidents, service requests, and enquiries. Requests are logged, prioritised, and resolved in line with defined processes."
TENDER_2023_OPS_02,Operations & Support,Explain how service requests are managed and prioritised.,Requests are recorded in a service management tool and prioritised by business impact and urgency. Items are assigned to support teams and tracked through to completion.
TENDER_2023_OPS_03,Operations & Support,Describe your organisation’s monitoring and alerting practices.,Operational monitoring tracks performance and availability. Alerts are generated when thresholds are exceeded and reviewed by operations personnel for investigation and resolution.
TENDER_2023_OPS_04,Operations & Support,Explain how system availability is maintained.,"Availability is supported through resilient infrastructure design, proactive monitoring, and operational support processes. Planned maintenance and capacity monitoring support stability."
TENDER_2023_OPS_05,Operations & Support,Describe how operational incidents are managed.,"Incidents are logged and prioritised by severity. Incident management processes coordinate investigation, remediation, stakeholder updates, and closure with lessons learned where appropriate."
TENDER_2023_OPS_06,Operations & Support,How does your organisation manage change requests?,"Changes are evaluated through a change management process assessing risk and impact. Approved changes are scheduled, implemented, and reviewed with appropriate testing and communication."
TENDER_2023_OPS_07,Operations & Support,Describe your organisation’s approach to problem management.,"Recurring incidents are analysed to identify root causes. Problem records track investigation, corrective actions, and prevention activities, with outcomes reviewed to reduce repeat issues."
TENDER_2023_OPS_08,Operations & Support,Explain how operational metrics are monitored and reported.,"Operational performance is monitored through defined KPIs and reporting cycles. Metrics are reviewed to track service quality, trends, and continuous improvement opportunities."
TENDER_2023_ARCH_01,Architecture & Technology,Describe your organisation’s technology architecture principles.,"Architecture principles emphasise security, scalability, reliability, and maintainability. Decisions consider integration needs, operational efficiency, and alignment with long-term strategy."
TENDER_2023_ARCH_02,Architecture & Technology,Explain how your solutions support scalability.,Scalability is supported through modular design and scalable infrastructure components. Capacity planning and performance monitoring help ensure solutions adapt to changing workloads.
TENDER_2023_ARCH_03,Architecture & Technology,Describe your approach to system integration.,"Integration is achieved using standardised interfaces and integration patterns. These support secure data exchange, interoperability, and consistent handling of errors and retries."
