Question_ID,Question,Suggested_Domain,Response_Style,Must_Use_Wording,Notes_Context
Q001,"Describe your organisation’s information security management approach, including security governance, policies, and oversight.",Security & Compliance,Detailed,,Council customer; keep response formal and auditable.
Q002,"Do you hold ISO 27001 certification? If yes, provide certificate number and expiry date.",Security & Compliance,Short,Provide certificate number and expiry date. Do not include unsupported claims.,"If unknown, answer cautiously and flag as high risk."
Q003,"Confirm that all customer data is encrypted in transit and at rest. Specify encryption standards (e.g., TLS 1.2+, AES-256).",Security & Compliance,Detailed,Must specify standards for in-transit and at-rest encryption.,Avoid promising standards not supported by historical responses.
Q004,"Describe your incident response process, including detection, containment, investigation, and customer notification timeframes.",Security & Compliance,Detailed,"Include notification timeframes where possible, avoid hard SLA if not evidenced.",Keep wording careful: 'target' vs 'guarantee'.
Q005,"Provide a high-level solution architecture and deployment model (SaaS, on-prem, or hybrid). Include key components.",Architecture,Detailed,,Assume SaaS preferred unless stated otherwise.
Q006,"Where will customer data be hosted and processed? Include regions, data residency, and any key subcontractors.",Data Governance,Detailed,Must address residency and subcontractors.,"If subcontractors unknown, state 'available on request' and flag."
Q007,Provide an implementation approach and indicative timeline for delivery within 12 weeks.,Delivery,Detailed,Align with 12-week timeline.,Prefer phased approach: discovery/config/test/train/go-live.
Q008,"Describe your project governance model, including roles, responsibilities, and reporting cadence.",Delivery,Detailed,,Include steering committee + weekly cadence.
Q009,"Describe your support and escalation model, including hours of support, response targets, and escalation paths.",Operations & Support,Detailed,Include response targets where possible without overpromising.,"If targets not evidenced, provide indicative targets and flag."
Q010,What uptime commitment do you offer and how is uptime measured and reported?,Operations & Support,Short,Do not promise an exact SLA unless supported.,"If asked for SLA, give conditional statement and flag."
Q011,How do you use AI/ML in your solution or delivery? Include safeguards against hallucinations and data leakage.,AI & Data,Detailed,"Must mention safeguards (hallucinations, data leakage).","Mention governance, evaluation, access control, human review."
Q012,"Describe how you manage PII, including access controls, retention, deletion, and offboarding.",Data Governance,Detailed,Must address retention and deletion.,"If retention periods are customer-defined, state so."
Q013,"List key assumptions, constraints, and dependencies for this proposal.",Commercial & Risk,Detailed,,"Include dependency on timely SME access, environments, approvals."
Q014,Identify key delivery risks and mitigations specific to this engagement.,Commercial & Risk,Detailed,,Should produce 5–8 risks with mitigations.
Q015,"Describe your approach to change management, training, and user adoption.",Change & Training,Detailed,,Include stakeholder engagement + training + comms.
Q016,"Confirm your approach to security testing (vulnerability scanning, penetration testing) and how findings are managed.",Security & Compliance,Detailed,Must address pen testing and vulnerability management.,Avoid claiming external certifications unless evidenced.
